ファイル名: HM-60252J_page405

<overview>
このページはパラメータR/Wコマンドに関するModbus通信のレジスタアドレス一覧表で構成されています。テキスト部分は表のタイトルと注釈のみで、ページ全体は主に表部分で占められています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### Modbus通信レジスタアドレス一覧（パラメータR/Wコマンド）

| Modbus通信レジスタアドレス 上位 (16進) | Modbus通信レジスタアドレス 下位 (16進) | 名称               | 設定範囲               | 初期値 | 反映 | FAネットワーク命令コード READ (16進) | FAネットワーク命令コード WRITE (16進) |
| :-------------------------------------: | :-------------------------------------: | :-----------------: | :--------------------: | :----: | :--: | :----------------------------------: | :-----------------------------------: |
| 3776 (0EC0h)                           | 3777 (0EC1h)                           | D-SEL0 No.選択      | 0～255：運転データNo.  | 0      | A    | 1888 (0760h)                       | 5984 (1760h)                        |
| 3778 (0EC2h)                           | 3779 (0EC3h)                           | D-SEL1 No.選択      | 0～255：運転データNo.  | 1      | A    | 1889 (0761h)                       | 5985 (1761h)                        |
| 3780 (0EC4h)                           | 3781 (0EC5h)                           | D-SEL2 No.選択      | 0～255：運転データNo.  | 2      | A    | 1890 (0762h)                       | 5986 (1762h)                        |
| 3782 (0EC6h)                           | 3783 (0EC7h)                           | D-SEL3 No.選択      | 0～255：運転データNo.  | 3      | A    | 1891 (0763h)                       | 5987 (1763h)                        |
| 3784 (0EC8h)                           | 3785 (0EC9h)                           | D-SEL4 No.選択      | 0～255：運転データNo.  | 4      | A    | 1892 (0764h)                       | 5988 (1764h)                        |
| 3786 (0ECAh)                           | 3787 (0ECBh)                           | D-SEL5 No.選択      | 0～255：運転データNo.  | 5      | A    | 1893 (0765h)                       | 5989 (1765h)                        |
| 3788 (0ECCh)                           | 3789 (0ECDh)                           | D-SEL6 No.選択      | 0～255：運転データNo.  | 6      | A    | 1894 (0766h)                       | 5990 (1766h)                        |
| 3790 (0ECEh)                           | 3791 (0ECFh)                           | D-SEL7 No.選択      | 0～255：運転データNo.  | 7      | A    | 1895 (0767h)                       | 5991 (1767h)                        |
| 3792 (0ED0h)                           | 3793 (0ED1h)                           | D-END0 No.選択      | 0～255：運転データNo.  | 0      | A    | 1896 (0768h)                       | 5992 (1768h)                        |
| 3794 (0ED2h)                           | 3795 (0ED3h)                           | D-END1 No.選択      | 0～255：運転データNo.  | 1      | A    | 1897 (0769h)                       | 5993 (1769h)                        |
| 3796 (0ED4h)                           | 3797 (0ED5h)                           | D-END2 No.選択      | 0～255：運転データNo.  | 2      | A    | 1898 (076Ah)                      | 5994 (176Ah)                       |
| 3798 (0ED6h)                           | 3799 (0ED7h)                           | D-END3 No.選択      | 0～255：運転データNo.  | 3      | A    | 1899 (076Bh)                      | 5995 (176Bh)                       |
| 3800 (0ED8h)                           | 3801 (0ED9h)                           | D-END4 No.選択      | 0～255：運転データNo.  | 4      | A    | 1900 (076Ch)                      | 5996 (176Ch)                       |
| 3802 (0EDAh)                           | 3803 (0EDBh)                           | D-END5 No.選択      | 0～255：運転データNo.  | 5      | A    | 1901 (076Dh)                      | 5997 (176Dh)                       |
| 3804 (0EDCh)                           | 3805 (0EDDh)                           | D-END6 No.選択      | 0～255：運転データNo.  | 6      | A    | 1902 (076Eh)                      | 5998 (176Eh)                       |
| 3806 (0EDEh)                           | 3807 (0EDFh)                           | D-END7 No.選択      | 0～255：運転データNo.  | 7      | A    | 1903 (076Fh)                      | 5999 (176Fh)                       |
| 5108 (13F4h)                          | 5109 (13F5h)                          | T-MODE使用時停止中電流設定 | 0：停止電流 1：運転電流 | 0      | A    | 2554 (09FAh)                      | 6650 (19FAh)                       |

</contents>
