ファイル名: HM-60252J_page266

<overview>
このページは「診断(08h)」というファンクションコードに関する説明で構成されています。ページ全体は以下のセクションで構成されています。
- テキスト部分：診断の概要説明、診断の例の説明
- 表部分：クエリとレスポンスのデータ構造を示す2つの表
- グラフ部分：なし
</overview>

<contents>
### テキスト
#### 診断(08h)
クライアントとサーバー間の通信を診断する機能について説明しています。任意のデータを送信し、返送されたデータの結果で通信が正常かどうかを判断します。サブファンクションは00h（クエリの返送）のみです。

##### 診断の例
任意のデータ（1234h）をサーバーに送信して診断を行います。

### 表
#### クエリ
| フィールド名称               | データ  | 内容               |
|----------------------------|---------|--------------------|
| サーバーアドレス           | 03h     | サーバーアドレス3  |
| ファンクションコード       | 08h     | 診断               |
| データ                     |         |                    |
| ・サブファンクションコード(上位) | 00h     | クエリデータの返信 |
| ・サブファンクションコード(下位) | 00h     | クエリデータの返信 |
| ・データ値(上位)           | 12h     | 任意のデータ(1234h)|
| ・データ値(下位)           | 34h     | 任意のデータ(1234h)|
| エラーチェック(下位)       | ECh     | CRC-16の計算結果   |
| エラーチェック(上位)       | 9Eh     | CRC-16の計算結果   |

#### レスポンス
| フィールド名称               | データ  | 内容           |
|----------------------------|---------|----------------|
| サーバーアドレス           | 03h     | クエリと同じ値 |
| ファンクションコード       | 08h     | クエリと同じ値 |
| データ                     |         |                |
| ・サブファンクションコード(上位) | 00h     | クエリと同じ値 |
| ・サブファンクションコード(下位) | 00h     | クエリと同じ値 |
| ・データ値(上位)           | 12h     | クエリと同じ値 |
| ・データ値(下位)           | 34h     | クエリと同じ値 |
| エラーチェック(下位)       | ECh     | クエリと同じ値 |
| エラーチェック(上位)       | 9Eh     | クエリと同じ値 |
</contents>
