ファイル名: HM-60252J_page415

<overview>
本ページは2つの主要セクションで構成されています。  
1. 「LED状態表示設定パラメータ」：テキストと表で構成され、LEDの制御や表示機能に関する各種パラメータの設定範囲、初期値、反映情報、FAネットワーク命令コードが詳細に記載されています。  
2. 「RS-485通信設定パラメータ」：こちらもテキストと表で構成され、Modbus通信に関する各種パラメータ（通信ID、ボーレート、通信順序、パリティ、ストップビット、タイムアウト、異常アラーム、送信待ち時間）の設定範囲や初期値、反映情報、命令コードが一覧形式で示されています。  
グラフや図はなく、全体的にパラメータ設定の説明と詳細な表情報で構成されています。
</overview>

<contents>
### テキスト
#### 14-21 LED状態表示設定パラメータ
LEDの状態表示に関する各種パラメータの設定内容を示しています。  
- LED-OUT制御はLEDの点灯制御や出力信号の状態表示を行う。  
- LED-OUT-GREEN機能、LED-OUT-GREEN論理、LED-OUT-RED機能、LED-OUT-RED論理はI/Oステータス出力選択時の動作設定を行う。

#### 14-22 RS-485通信設定パラメータ
Modbus通信に関するパラメータ設定を示しています。  
- 通信IDはドライバのスイッチ設定に従うか、番号を指定。  
- Baudrateは通信速度の設定。  
- 通信順序はアドレスのビッグエンディアン・リトルエンディアンの指定。  
- 通信パリティ、ストップビット、通信タイムアウト、通信異常アラーム、送信待ち時間の設定が可能。

### 表
#### 14-21 LED状態表示設定パラメータ

| Modbus通信レジスタアドレス 上位 | 下位 | 名称                     | 設定範囲                                                                                                   | 初期値           | 反映 | FAネットワーク命令コード READ       | WRITE        |
|-------------------------------|------|--------------------------|------------------------------------------------------------------------------------------------------------|------------------|------|------------------------------------|--------------|
| 1002 (03EAh)                  | 1003 (03EBh) | LED-OUT制御              | -1:LEDを点灯させない<br>0:出力信号の状態を表示する<br>1:位置決め機能内蔵タイプとRS-485通信付きパルス列入力タイプではC-DAT/C-ERR LEDとして機能し、パルス列入力タイプでは出力信号の状態を表示する | 1                | A    | 501 (01F5h)                       | 4597 (11F5h) |
| 1004 (03ECh)                  | 1005 (03EDh) | LED-OUT-GREEN機能 (I/Oステータス出力選択時) | 出力信号一覧 →420ページ                                                                                     | 132:READY        | A    | 502 (01F6h)                       | 4598 (11F6h) |
| 1006 (03EEh)                  | 1007 (03EFh) | LED-OUT-GREEN論理 (I/Oステータス出力選択時) | 0:反転しない<br>1:反転する                                                                                   | 0                | A    | 503 (01F7h)                       | 4599 (11F7h) |
| 1008 (03F0h)                  | 1009 (03F1h) | LED-OUT-RED機能 (I/Oステータス出力選択時)   | 出力信号一覧 →420ページ                                                                                     | 128:CONST-OFF    | A    | 504 (01F8h)                       | 4600 (11F8h) |
| 1010 (03F2h)                  | 1011 (03F3h) | LED-OUT-RED論理 (I/Oステータス出力選択時)   | 0:反転しない<br>1:反転する                                                                                   | 0                | A    | 505 (01F9h)                       | 4601 (11F9h) |

#### 14-22 RS-485通信設定パラメータ

| Modbus通信レジスタアドレス 上位 | 下位 | 名称               | 設定範囲                                                                                                                      | 初期値 | 反映 | FAネットワーク命令コード READ | WRITE      |
|-------------------------------|------|--------------------|-------------------------------------------------------------------------------------------------------------------------------|--------|------|------------------------------|------------|
| 4992 (1380h)                  | 4993 (1381h) | 通信ID (Modbus)      | -1:ドライバのスイッチ設定に従う<br>1～31:番号番号<br>※0は使用しないでください。                                                   | -1     | D    | 2496 (09C0h)                 | 6592 (19C0h) |
| 4994 (1382h)                  | 4995 (1383h) | Baudrate (Modbus)    | -1:ドライバのスイッチ設定に従う<br>0:9,600 bps<br>1:19,200 bps<br>2:38,400 bps<br>3:57,600 bps<br>4:115,200 bps<br>5:230,400 bps | -1     | D    | 2497 (09C1h)                 | 6593 (19C1h) |
| 4996 (1384h)                  | 4997 (1385h) | 通信順序 (Modbus)    | 0:Even Address-High Word & Big-Endian<br>1:Even Address-Low Word & Big-Endian<br>2:Even Address-High Word & Little-Endian<br>3:Even Address-Low Word & Little-Endian | 0      | D    | 2498 (09C2h)                 | 6594 (19C2h) |
| 4998 (1386h)                  | 4999 (1387h) | 通信パリティ (Modbus) | 0:なし<br>1:偶数パリティ<br>2:奇数パリティ                                                                                      | 1      | D    | 2499 (09C3h)                 | 6595 (19C3h) |
| 5000 (1388h)                  | 5001 (1389h) | 通信ストップビット (Modbus) | 0:1ビット<br>1:2ビット                                                                                                         | 0      | D    | 2500 (09C4h)                 | 6596 (19C4h) |
| 5002 (138Ah)                  | 5003 (138Bh) | 通信タイムアウト (Modbus) | 0:監視しない<br>1～10,000 ms                                                                                                  | 0      | A    | 2501 (09C5h)                 | 6597 (19C5h) |
| 5004 (138Ch)                  | 5005 (138Dh) | 通信異常アラーム (Modbus) | 1～10回                                                                                                                       | 3      | A    | 2502 (09C6h)                 | 6598 (19C6h) |
| 5006 (138Eh)                  | 5007 (138Fh) | 送信待ち時間 (Modbus) | 0～10,000 (1=0.1 ms)                                                                                                          | 30     | D    | 2503 (09C7h)                 | 6599 (19C7h) |
</contents>
