ファイル名: HM-60252J_page53

<overview>
このページは「2 運転操作」章の目次ページです。  
テキスト部分のみで構成されており、運転機能やパラメータに関する各節のタイトルと対応ページ番号が一覧で示されています。  
表やグラフは含まれていません。  
主な構成は以下の通りです。  
- 位置決め運転に必要な設定のながれ  
- 分解能の設定  
- ストアードデータ（SD）運転の詳細（種類、データ設定、連続SD運転など）  
- 原点復帰運転の種類  
- マクロ運転の種類と詳細  
- 運転の種類と運転データ・パラメータの関係  
- 座標管理の概要と関連パラメータ  
</overview>

<contents>
### テキスト
#### 2 運転操作
運転機能やパラメータについて説明しています。

##### もくじ
| 節番号 | タイトル | ページ |
| :--- | :--- | :--- |
| 1 | 位置決め運転に必要な設定のながれ | 54 |
| 2 | 分解能の設定 | 55 |
| 3 | ストアードデータ（SD）運転 | 57 |
| 3-1 | ストアードデータ（SD）運転の種類 | 57 |
| 3-2 | データの設定 | 60 |
| 3-3 | 位置決めSD運転 | 67 |
| 3-4 | 位置決め押し当てCSD運転 | 76 |
| 3-5 | 連続SD運転 | 79 |
| 3-6 | 運転データの結合方式 | 84 |
| 3-7 | シーケンス機能 | 94 |
| 3-8 | 運転データ拡張用設定 | 101 |
| 3-9 | 停止動作 | 103 |
| 3-10 | 基本電流と停止電流 | 105 |
| 3-11 | 加減速単位 | 106 |
| 3-12 | 起動速度 | 106 |
| 4 | 原点復帰運転 | 107 |
| 4-1 | 高速原点復帰運転 | 107 |
| 4-2 | 原点復帰運転 | 109 |
| 5 | マクロ運転 | 122 |
| 5-1 | マクロ運転の種類 | 122 |
| 5-2 | JOG運転 | 123 |
| 5-3 | 高速JOG運転 | 125 |
| 5-4 | インチング運転 | 127 |
| 5-5 | 複合JOG運転 | 129 |
| 5-6 | 連続運転 | 131 |
| 5-7 | 速度制御運転 | 133 |
| 5-8 | 速度制御押し当て運転 | 135 |
| 6 | 運転の種類と運転データ・パラメータの関係 | 138 |
| 7 | 座標管理 | 140 |
| 7-1 | 座標管理の概要 | 140 |
| 7-2 | 座標原点 | 144 |
| 7-3 | ABZOセンサに関するパラメータ | 145 |
| 7-4 | 機構諸元パラメータ | 146 |
| 7-5 | 初期座標生成・ラウンド座標パラメータ | 147 |
| 7-6 | 機構リミット | 152 |
| 7-7 | 機構保護 | 152 |
| 7-8 | 座標情報モニタ機能 | 153 |
</contents>
