ファイル名: RCON(MJ0384-8D)_page208

<overview>
このページは「SCON拡張ユニット、PIO/SIO/SCON拡張ユニット、PIOユニット」に関する説明で構成されています。内容は主にピン配置に関する情報で、テキストは少なく、ほぼ全体が2つの表で構成されています。左側の表は入力ピンの番号、区分、割付を示し、右側の表は出力ピンの番号、区分、割付を示しています。グラフや図はなく、表形式でピンの割付情報を詳細に記載しています。
</overview>

<contents>
### テキスト
#### セクションタイトル
3.5 SCON拡張ユニット、PIO/SIO/SCON拡張ユニット、PIOユニット

【ピン配置】

### 表
#### 入力ピン配置

| ピン番号 | 区分 | 割付  |
| :------- | :--- | :---- |
| 1A       | 24   | P24   |
| 2A       | 24   | P24   |
| 3A       | -    | -     |
| 4A       | -    | -     |
| 5A       |      | IN0   |
| 6A       |      | IN1   |
| 7A       |      | IN2   |
| 8A       |      | IN3   |
| 9A       |      | IN4   |
| 10A      |      | IN5   |
| 11A      |      | IN6   |
| 12A      |      | IN7   |
| 13A      |      | IN8   |
| 14A      |      | IN9   |
| 15A      |      | IN10  |
| 16A      |      | IN11  |
| 17A      |      | IN12  |
| 18A      |      | IN13  |
| 19A      |      | IN14  |
| 20A      |      | IN15  |

#### 出力ピン配置

| ピン番号 | 区分 | 割付   |
| :------- | :--- | :----- |
| 1B       |      | OUT0   |
| 2B       |      | OUT1   |
| 3B       |      | OUT2   |
| 4B       |      | OUT3   |
| 5B       |      | OUT4   |
| 6B       |      | OUT5   |
| 7B       |      | OUT6   |
| 8B       |      | OUT7   |
| 9B       | 0    | OUT8   |
| 10B      | 0    | OUT9   |
| 11B      |      | OUT10  |
| 12B      |      | OUT11  |
| 13B      |      | OUT12  |
| 14B      |      | OUT13  |
| 15B      |      | OUT14  |
| 16B      |      | OUT15  |
| 17B      | -    | -      |
| 18B      | -    | -      |
| 19B      | 0    | N      |
| 20B      | 0    | N      |
</contents>
