ファイル名: RCON(MJ0384-8D)_page816

<overview>
このページは「11.2 アクチュエーターの仕様一覧」というタイトルのもと、RCP6シリーズのアクチュエーター仕様を表形式でまとめています。  
構成は以下の通りです。  
- テキスト部分：タイトル、注釈  
- 表部分：アクチュエーターシリーズごとのタイプ、送りねじ、エンコーダーパルス数、リード長さ、取付方向、最低速度、最高速度、最大加減速度、押付力（最小・最大）、定格押付速度の詳細な仕様データ  
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCP6シリーズのアクチュエーター仕様を一覧表で示しています。

##### 注釈
- RCP6/RCP6CR/RCP6Wの最高速度・最大加減速度は、高出力機能有効時の値です。（高出力設定が無関係の機種も一部あります）

### 表
#### RCP6シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ           | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付方向 | 最低速度 [mm/s] | 最高速度 [mm/s]                                                                                     | 最大加減速度 [G] | 最小押付力 [N] | 最大押付力 [N] | 定格押付け速度 [mm/s] |
|--------------------------|------------------|----------|----------------------|------------|----------|-----------------|--------------------------------------------------------------------------------------------------|-----------------|----------------|----------------|------------------------|
| HSA6C                    | ボールねじ       | 8192     | 6                    |            | 水平     | 8               | 450(at 50～400st)<br>415(at 450st)<br>350(at 500st)<br>295(at 550st)<br>255(at 600st)<br>220(at 650st)<br>190(at 700st)<br>170(at 750st)<br>140(at 800st) | 0.5             | 64             | 224            | 20                     |
|                          |                  |          |                      |            | 垂直     |                 |                                                                                                  |                 |                |                |                        |
|                          |                  |          | 3                    |            | 水平     | 4               | 225(at 50～400st)<br>205(at 450st)<br>170(at 500st)<br>145(at 550st)<br>125(at 600st)<br>110(at 650st)<br>95(at 700st)<br>85(at 750st)<br>70(at 800st)   | 0.5             | 128            | 449            | 20                     |
|                          |                  |          |                      |            | 垂直     |                 |                                                                                                  |                 |                |                |                        |
| RCP6 高剛性 (スライダータイプ) | ボールねじ       | 8192     | 24                   |            | 水平     | 30              | 1230(at 50～600st)<br>1085(at 650st)<br>950(at 700st)<br>840(at 750st)<br>750(at 800st)<br>1080(at 50～600st)<br>1085(at 650st)<br>950(at 700st)<br>840(at 750st)<br>750(at 800st) | 1               | 40             | 139            | 20                     |
|                          |                  |          |                      |            | 垂直     |                 |                                                                                                  |                 |                |                |                        |
|                          |                  |          | 16                   |            | 水平     | 20              | 840(at 50～550st)<br>820(at 600st)<br>715(at 650st)<br>625(at 700st)<br>555(at 750st)<br>495(at 800st) | 1               | 60             | 209            | 20                     |
|                          |                  |          |                      |            | 垂直     |                 |                                                                                                  |                 |                |                |                        |
|                          |                  |          | 8                    |            | 水平     | 10              | 420(at 50～550st)<br>405(at 600st)<br>350(at 650st)<br>310(at 700st)<br>275(at 750st)<br>245(at 800st) | 1               | 119            | 420            | 20                     |
|                          |                  |          |                      |            | 垂直     |                 |                                                                                                  |                 |                |                |                        |
|                          |                  |          | 4                    |            | 水平     | 5               | 210(at 50～550st)<br>195(at 600st)<br>1750(at 650st)<br>150(at 700st)<br>135(at 750st)<br>120(at 800st) | 1               | 239            | 836            | 20                     |
|                          |                  |          |                      |            | 垂直     |                 |                                                                                                  |                 |                |                |                        |
</contents>
