ファイル名: RCON(MJ0384-8D)_page845

<overview>
このページは「RCP3シリーズ」のアクチュエーター仕様一覧を示す表で構成されています。テキストはタイトルとシリーズ名の説明があり、主要部分は複数の仕様項目を列挙した詳細な表形式です。表はアクチュエーターシリーズごとにタイプ、送りねじ、エンコーダパルス数、リード(mm)、取付け方向、最低速度、最高速度、最大加減速度、最小押付け力、最大押付け力、定格押付け速度の仕様をまとめています。グラフや図はなく、表のみで構成されています。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCP3シリーズのアクチュエーター仕様を一覧表で示す。

### 表
#### RCP3シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダパルス数 | リード(mm) | 取付け方向 | 最低速度(mm/s) | 最高速度(mm/s) | 最大加減速度(G) | 最小押付け力(N) | 最大押付け力(N) | 定格押付け速度(mm/s) |
|--------------------------|--------|----------|--------------------|------------|------------|----------------|----------------|-----------------|-----------------|-----------------|-----------------------|
| RCP3 (スライダータイプ)  | SA6C SA6R | ボールねじ | 800 | 6 | 水平 | 8 | 300(at 50～550st) 285(at 600st) 245(at 650st) 210(at 700st) 185(at 750st) 165(at 800st) | 0.7 | 80 | 115 | 20 |
|                          |        |          |    |    | 垂直 |    |    | 0.3 |   |   |   |
|                          |        |          |    | 3  | 水平 | 4 | 150(at 50～550st) 140(at 600st) 120(at 650st) 105(at 700st) 90(at 750st) 80(at 800st) | 0.7 | 160 | 230 |   |
|                          |        |          |    |    | 垂直 |    |    | 0.3 |   |   |   |
| RA2AC RA2AR (標準タイプ) | すべりねじ | 800 | 4 | 水平/垂直 | 5 | 180(at 25st) 200(at 50～100st) | 0.9 | 6.6 |   | 5 |
|                          |          |    | 2 | 3 | 100 | 0.2 | 1.9 | 13.2 |   |   |
|                          |          |    | 1 | 2 | 50 | 3.8 | 26.4 |   |   |   |
|                          | ボールねじ |    | 4 | 水平 | 5 | 180(at 25st) 200(at 50～100st) | 0.3 | 3.6 | 12.6 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          |          |    | 2 | 水平 | 3 | 100 | 0.3 | 7.2 | 25.2 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          |          |    | 1 | 水平 | 2 | 50 | 0.3 | 14.4 | 50.4 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          | ボールねじ 高推力タイプ |    | 4 | 水平 | 5 | 180(at 25st) 200(at 50～100st) | 0.3 | 6.6 | 23.1 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          |          |    | 2 | 水平 | 3 | 100 | 0.3 | 13.2 | 46.2 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          |          |    | 1 | 水平 | 2 | 50 | 0.3 | 26.4 | 92.4 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
| RA2BC RA2BR (ロッドタイプ) | すべりねじ | 800 | 6 | 水平/垂直 | 8 | 180(at 25st) 280(at 50st) 300(at 75～150st) | 0.6 | 4.4 |   |   | 5 |
|                          |          |    | 4 | 5 | 180(at 25st) 200(at 50～150st) | 0.2 | 0.9 | 6.6 |   |   |
|                          |          |    | 2 | 3 | 100 | 1.9 | 13.2 |   |   |   |
|                          | ボールねじ 標準タイプ |    | 6 | 水平 | 8 | 180(at 25st) 280(at 50st) 300(at 75～150st) | 0.3 | 1.8 | 6.3 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          |          |    | 4 | 水平 | 5 | 180(at 25st) 200(at 50～150st) | 0.3 | 3.6 | 12.6 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          |          |    | 2 | 水平 | 3 | 100 | 0.3 | 7.2 | 25.2 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          |          |    | 1 | 水平 | 2 | 50 | 0.3 | 14.4 | 50.4 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          | ボールねじ 高推力タイプ |    | 6 | 水平 | 8 | 180(at 25st) 280(at 50st) 300(at 75～150st) | 0.3 | 4.4 | 15.4 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          |          |    | 4 | 水平 | 5 | 180(at 25st) 200(at 50～150st) | 0.3 | 6.6 | 23.1 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          |          |    | 2 | 水平 | 3 | 100 | 0.3 | 13.2 | 46.2 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |
|                          |          |    | 1 | 水平 | 2 | 50 | 0.3 | 26.4 | 92.4 |   |
|                          |          |    |    | 垂直 |    |    | 0.2 |   |   |   |

</contents>
