ファイル名: RCON(MJ0384-8D)_page840

<overview>
本ページは「11.2 アクチュエーターの仕様一覧」と題されており、RCP4シリーズのアクチュエーター仕様を詳細に示した表で構成されています。テキストは主に表の見出しや注釈部分にあり、表部分がページの大部分を占めています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCP4シリーズのアクチュエーター仕様を一覧表形式で示しています。

注記：
- RCP4/RCP4CR/RCP4Wの最高速度・最大加減速度は、高出力機能有効時の値です。
- 高出力設定が無関係の機種も一部あります。

### 表
#### RCP4シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付け方向 | 最低速度 [mm/s] | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付け力 [N] | 最大押付け力 [N] | 定格押付け速度 [mm/s] |
| :----------------------- | :----- | :------- | :------------------- | :--------- | :---------- | :-------------- | :-------------- | :--------------- | :---------------- | :---------------- | :--------------------- |
| RCP4 / RCP4CR (スライダータイプ) 標準仕様/クリーン仕様 | 【標準】SA5C SA5R 【クリーン】SA5C | ボールねじ | 800 | 3 | 水平 | 4 | 225(at 50～450st) 195(at 500st) 165(at 550st) 140(at 600st) 120(at 650st) 105(at 700st) 90(at 750st) 80(at 800st) | 1.0 | 106 | 370 | 20 |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |
|  |  |  | 20 |  | 水平 | 25 | SA6C：1440(at 50～500st) 1230(at 550st) 1045(at 600st) 905(at 650st) 785(at 700st) 690(at 750st) 615(at 800st) SA6R：1280(at 50～500st) 1230(at 550st) 1045(at 600st) 905(at 650st) 785(at 700st) 690(at 750st) 615(at 800st) | 1.0 | 16 | 56 |  |
|  |  |  |  |  | 垂直 |  | SA6C：1280(at 50～500st) 1230(at 550st) 1045(at 600st) 905(at 650st) 785(at 700st) 690(at 750st) 615(at 800st) SA6R：1120(at 50～550st) 1045(at 600st) 905(at 650st) 785(at 700st) 690(at 750st) 615(at 800st) | 0.5 |  |  | 20 |
|  |  |  | 12 |  | 水平 | 15 | 900(at 50～450st) 795(at 500st) 670(at 550st) 570(at 600st) 490(at 650st) 430(at 700st) 375(at 750st) 335(at 800st) | 1.0 | 26 | 93 |  |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |
|  |  |  | 6 |  | 水平 | 8 | 450(at 50～450st) 395(at 500st) 335(at 550st) 285(at 600st) 245(at 650st) 215(at 700st) 185(at 750st) 165(at 800st) | 1.0 | 53 | 185 |  |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |
|  |  |  | 3 |  | 水平 | 4 | 225(at 50～450st) 195(at 500st) 165(at 550st) 140(at 600st) 120(at 650st) 105(at 700st) 90(at 750st) 80(at 800st) | 1.0 | 106 | 370 |  |
|  |  |  |  |  | 垂直 |  |  | 0.5 |  |  |  |

</contents>
