ファイル名: RCON(MJ0384-8D)_page866

<overview>
本ページは「11.2 アクチュエーターの仕様一覧」と題されており、RCS4シリーズのアクチュエーターに関する仕様を表形式でまとめています。ページ全体は表部分で構成されており、各アクチュエーターシリーズごとにタイプ、モーター出力、エンコーダーパルス数、リード長、取付け方向、最高速度、最大加減速度、押付力、定格押付速度などの詳細な性能データが記載されています。テキスト部分は表の下に注釈があり、オフボードチューニング機能の対応機種に関する説明が付されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 注釈
- タイプが網掛けされた機種は、オフボードチューニング機能に対応しています。
- ただし、高加減速対応の設定がある場合は除きます。
- オフボードチューニング機能については、パソコン専用ティーチングソフトの取扱説明書を参照してください。

### 表
#### RCS4シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | モーター出力 [W] | エンコーダーパルス数 | リード [mm] | 取付け方向 | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付力 [N] | 最大押付力 [N] | 定格押付速度 [mm/s] |
|--------------------------|--------|------------------|----------------------|-------------|------------|-----------------|------------------|----------------|----------------|---------------------|
| RCS4 (高剛性スライダータイプ) | HSA7C | 200 | 16384 | 10 | - | 600 (at 50～600st)<br>540 (at 650st)<br>480 (at 700st)<br>430 (at 750st)<br>385 (at 800st)<br>345 (at 850st)<br>310 (at 900st)<br>285 (at 950st)<br>260 (at 1000st) | 1 | - | - | - |
|                          |        |      |      | 5 | - | 300 (at 50～600st)<br>270 (at 650st)<br>240 (at 700st)<br>215 (at 750st)<br>190 (at 800st)<br>175 (at 850st)<br>155 (at 900st)<br>140 (at 950st)<br>130 (at 1000st) | 0.7 | - | - | - |
| RCS4 (ワイドスライダータイプ) | WSA10C / WSA10R | 60 | 16384 | 16 | 水平 | 960 (at 50～350st)<br>930 (at 400st)<br>775 (at 450st)<br>660 (at 500st) | WSA10C:1.2<br>WSA10R:1 | - | - | - |
|                          |        |      |      | 10 | 水平 | 600 (at 50～350st)<br>590 (at 400st)<br>490 (at 450st)<br>415 (at 500st) | WSA10C:1.2<br>WSA10R:1 | - | - | - |
|                          |        |      |      | 5 | 水平/垂直 | 300 (at 50～350st)<br>290 (at 400st)<br>245 (at 450st)<br>205 (at 500st) | 1 | - | - | - |
|                          |        |      |      | 2.5 | 水平/垂直 | 150 (at 50～350st)<br>145 (at 400st)<br>120 (at 450st)<br>100 (at 500st) | 0.7 | - | - | - |
|                          | WSA12C / WSA12R | 100 | 16384 | 30 | 水平 | 1600 (at 50～500st)<br>1450 (at 550st)<br>1260 (at 600st)<br>1100 (at 650st)<br>970 (at 700st)<br>860 (at 750st)<br>770 (at 800st) | WSA12C:1.2<br>WSA12R:1 | - | - | - |
|                          |        |      |      | 20 | 水平/垂直 | 1200 (at 50～450st)<br>1130 (at 500st)<br>970 (at 550st)<br>840 (at 600st)<br>740 (at 650st)<br>650 (at 700st)<br>580 (at 750st)<br>520 (at 800st) | WSA12C:1.2<br>WSA12R:1 | - | - | - |
</contents>
