ファイル名: RCON(MJ0384-8D)_page814

<overview>
本ページは「11.2 アクチュエーターの仕様一覧」と題されており、RCP6シリーズのアクチュエーターに関する仕様表で構成されています。主に表形式で、各モデルのタイプ、送りねじ、エンコーダーパルス数、リード長、取付方向、最低速度、最高速度、最大加減速度、最小押付力、最大押付力、定格押付速度の詳細な数値が記載されています。テキストは注釈として仕様の補足説明があるのみで、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 注釈
- RCP6/RCP6CR/RCP6Wの最高速度・最大加減速度は、高出力機能有効時の値です。
- 高出力設定が無関係の機種も一部あります。

### 表
#### RCP6シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ     | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付方向 | 最低速度[mm/s] | 最高速度[mm/s]                                                                                         | 最大加減速度[G] | 最小押付力[N] | 最大押付力[N] | 定格押付け速度[mm/s] |
|--------------------------|------------|----------|----------------------|------------|----------|----------------|------------------------------------------------------------------------------------------------------|-----------------|---------------|---------------|-----------------------|
| RCP6 RCP6CR (スライダータイプ) 標準仕様/クリーン仕様 | ボールねじ | 8192     |                      | 8          | 水平     | 10             | SA7C: 490(at 50～500st) 475(at 550st) 410(at 600st) 355(at 650st) 315(at 700st) 275(at 750st) 245(at 800st) <br> SA7R: 420(at 50～550st) 410(at 600st) 355(at 650st) 315(at 700st) 275(at 750st) 245(at 800st) | 1               | 119           | 418           |                       |
|                          |            |          |                      |            | 垂直     |                |                                                                                                      | 0.5             |               |               |                       |
|                          |            |          |                      | 4          | 水平     | 5              | SA7C: 245(at 50～500st) 235(at 550st) 205(at 600st) 175(at 650st) 155(at 700st) 135(at 750st) 120(at 800st) <br> SA7R: 210(at 50～550st) 205(at 600st) 175(at 650st) 155(at 700st) 135(at 750st) 120(at 800st) | 1               | 239           | 836           | 20                    |
|                          |            |          |                      |            | 垂直     |                | 210(at 50～550st) 205(at 600st) 175(at 650st) 155(at 700st) 135(at 750st) 120(at 800st)                | 0.5             |               |               |                       |
|                          |            |          |                      | 30         | 水平     | 38             | 1200(at 50～750st) 1155(at 800st) 1040(at 850st) 940(at 900st) 855(at 950st) 780(at 1000st) 715(at 1050st) 660(at 1100st) | 1               | 46            | 159           | 20                    |
|                          |            |          |                      |            | 垂直     |                | 850(at 50～950st) 780(at 1000st) 715(at 1050st) 660(at 1100st)                                       | 0.5             |               |               |                       |
|                          |            |          |                      | 20         | 水平     | 25             | 1000(at 50～650st) 950(at 700st) 860(at 750st) 770(at 800st) 695(at 850st) 630(at 900st) 570(at 950st) 520(at 1000st) 480(at 1050st) 440(at 1100st) | 1               | 68            | 239           |                       |

</contents>
