ファイル名: RCON(MJ0384-8D)_page478

<overview>
本ページは「6.2 各アドレスの割付け内容」に関する説明で、主にポジショナー5モードの入出力信号一覧を示しています。構成は以下の通りです。
- テキスト部分：信号の説明や動作状態の詳細解説
- 表部分：信号種類、ビット、信号名、内容、詳細参照ページをまとめた一覧表
- グラフ・図部分はなし
</overview>

<contents>
### テキスト
#### 入出力信号一覧（ポジショナー5モード）
- ONは該当ビットが“1”、OFFは“0”を示す。
- 現在位置は16ビット符号付整数（単位0.1mm、DDモーターは0.01度）で表され、最大値は32767。
- 16進数で読み取る場合は2の補数表現となる。

### 表
#### ポジショナー5モード 入出力信号一覧

| 信号種類       | ビット       | 信号名  | 内容                                                                                         | 詳細     |
| :------------- | :----------- | :------ | :------------------------------------------------------------------------------------------- | :------- |
| 現在位置       | 16ビット     | －      | 16ビット符号付整数（単位：0.1mm、DDモーターは0.01度）例：+25.40mmなら254出力。最大値は32767。16進数は2の補数。 | 6.5.2    |
| 状態信号、完了ポジションNo. | b15          | EMGS    | 非常停止状態【ON：非常停止状態】                                                             | 6.3[2]   |
|                | b14          | CRDY    | コントローラー準備完了【ON：準備完了状態】                                                 | 6.3[1]   |
|                | b13          | ZONE2   | ゾーン出力モニター2【ON：現在位置がゾーン2の設定範囲内、OFF：限定位置が設定範囲内にない】   | 6.3[10]  |
|                | b12          | ZONE1   | ゾーン出力モニター1【ON：現在位置がゾーン1の設定範囲内、OFF：限定位置が設定範囲内にない】   | 6.3[10]  |
|                | b11-b8       | PM＊＊   | 完了ポジションNo.を2進数で読み取り。アラーム発生中は簡易アラームコード出力。                 | 10.4.2   |
|                | b7           | MEND    | 指令完了【ON：移動後に位置決め完了・押付け完了・空振りのいずれかの状態、OFF：移動開始またはサーボOFF状態】 | 6.3[20]  |
|                | b6           | ALML    | 軽故障アラーム出力【ON：過負荷警告またはメッセージレベルのアラーム発生時】                 | 6.3[22]  |
|                | b5           | PSFL    | 押付け動作空振り【ON：押付け動作が空振りで完了】                                           | 6.3[19]  |
|                | b4           | SV      | 運転準備完了【ON：運転準備完了（サーボON）】                                               | 6.3[5]   |
|                | b3           | ALM     | アラーム【ON：アラーム発生中、OFF：アラームなし】                                         | 6.3[3]   |
|                | b2           | MOVE    | 移動中【ON：移動中、OFF：停止中】                                                         | 6.3[6][7]|
|                | b1           | HEND    | 原点復帰完了【ON：原点復帰完了後、原点を維持している状態】                                 | 6.3[6]   |
|                | b0           | PEND    | 位置決め完了【ON：動作完了後、サーボONで停止中、OFF：押付け空振りの場合、サーボOFFで停止中】 | 6.3[5]～[7] |

</contents>
