ファイル名: RCON(MJ0384-8D)_page875

<overview>
本ページは「RCS4シリーズ」のアクチュエーター仕様一覧を示す表で構成されています。テキスト部分はタイトルとシリーズ名のみで、主要部分は詳細な仕様を示す表形式です。表はアクチュエーターシリーズごとにタイプ、モーター出力、エンコーダーパルス数、リード長さ、取付け方向、最高速度、最大加減速度、最小押付力、最大押付力、定格取付け速度の項目で構成されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCS4シリーズのアクチュエーター仕様一覧を示す。

### 表
#### RCS4シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ                         | モーター出力[W] | エンコーダーパルス数 | リード[mm] | 取付け方向 | 最高速度[mm/s]                              | 最大加減速度[G] | 最小押付力[N] | 最大押付力[N] | 定格取付け速度[mm/s] |
|--------------------------|------------------------------|-----------------|----------------------|------------|------------|---------------------------------------------|-----------------|---------------|---------------|---------------------|
| RCS4 (テーブルタイプ)    | TA7C (ダブルブロック仕様)    | 200             | 16384                | 16         | 水平/垂直  | 960(at 40～290st)<br>730(at 340st)<br>600(at 390st) | 1.2             | -             | -             | -                   |
|                          |                              |                 |                      | 8          | 水平/垂直  | 480(at 40～290st)<br>365(at 340st)<br>300(at 390st) | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 4          | 水平/垂直  | 240(at 40～290st)<br>180(at 340st)<br>150(at 390st) | 0.7             | -             | -             | -                   |
|                          | TA4R (シングルブロック仕様)  | 60              | 16384                | 16         | 水平/垂直  | 800                                         | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 10         | 水平/垂直  | 600                                         | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 5          | 水平/垂直  | 300                                         | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 2.5        | 水平/垂直  | 150                                         | 0.7             | -             | -             | -                   |
|                          | TA4R (ダブルブロック仕様)    | 60              | 16384                | 10         | 水平/垂直  | 600                                         | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 5          | 水平/垂直  | 300                                         | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 2.5        | 水平/垂直  | 150                                         | 0.7             | -             | -             | -                   |
|                          | TA6R (シングルブロック仕様)  | 100             | 16384                | 20         | 水平/垂直  | 1000                                        | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 12         | 水平/垂直  | 720                                         | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 6          | 水平/垂直  | 360                                         | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 3          | 水平/垂直  | 180                                         | 0.7             | -             | -             | -                   |
|                          | TA6R (ダブルブロック仕様)    | 100             | 16384                | 12         | 水平/垂直  | 720(at 45～270st)<br>575(at 320st)           | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 6          | 水平/垂直  | 360(at 45～270st)<br>285(at 320st)           | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 3          | 水平/垂直  | 180(at 45～270st)<br>140(at 320st)           | 0.7             | -             | -             | -                   |
|                          | TA7R (シングルブロック仕様)  | 200             | 16384                | 24         | 水平/垂直  | 1200                                        | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 16         | 水平/垂直  | 960                                         | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 8          | 水平/垂直  | 480                                         | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 4          | 水平/垂直  | 240                                         | 0.7             | -             | -             | -                   |
|                          | TA7R (ダブルブロック仕様)    | 200             | 16384                | 16         | 水平/垂直  | 960(at 40～290st)<br>730(at 340st)<br>600(at 390st) | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 8          | 水平/垂直  | 480(at 40～290st)<br>365(at 340st)<br>300(at 390st) | 1               | -             | -             | -                   |
|                          |                              |                 |                      | 4          | 水平/垂直  | 240(at 40～290st)<br>180(at 340st)<br>150(at 390st) | 0.7             | -             | -             | -                   |

</contents>
