ファイル名: RCON(MJ0384-8D)_page329

<overview>
本ページは「簡易アブソユニット使用時のRCON接続ケーブル一覧表」に関する内容で構成されています。主に表形式で、各アクチュエーターのシリーズ・対象タイプ、適用コントローラー記号、対応するRCON接続ケーブルの型番、変換ユニットの要否、配線図の参照記号がまとめられています。テキスト部分は注釈として、使用上の注意点やケーブルの仕様に関する補足説明が記載されています。グラフや図はなく、表が中心の構成です。
</overview>

<contents>
### テキスト
#### 4.9.2 簡易アブソユニット使用時のRCON接続ケーブル 一覧表
本節では、RCP/RCAシリーズの簡易アブソユニット使用時に必要なRCON接続ケーブルの一覧を示しています。

##### 注釈
- 注1：高推力用パルスモーター（56SP、60P、86P）を使用しているアクチュエーターは簡易アブソユニットに接続できません。
- 注2：各ドライバーユニットからアクチュエーターまでの距離は、変換ユニットの有無に関わらず最大20mです。
- 注3：CB-ADPC-MPA002（RCON接続ケーブル）はアクチュエーター購入時にセットされる型式設定がありません。使用時は別途手配が必要です。

### 表
#### RCON接続ケーブル一覧表（RCP/RCAシリーズ）

| No. | シリーズ           | 対象タイプ                                                                                      | 適用コントローラー記号 | RCON接続ケーブル（-RB：ロボットケーブル）                                   | 変換ユニット | 配線図 |
|:----|:-------------------|:-----------------------------------------------------------------------------------------------|:-----------------------|:-------------------------------------------------------------------------|:------------|:-------|
| (3) | RCP4 RCP4CR RCP4W  | グリッパー（GR＊）、ST4525E、SA3/RA3                                                           | P5                     | CB-ADPC(2)-MPA□□□（-RB）                                                | －          | A      |
| (4) |                    | 高推力タイプ（注1）                                                                             | P6                     | CB-ADPC-MPA002（注3）<br>CB-CAN-AJ002（変換ケーブル）                   | －          | B      |
| (5) |                    | (3)、(4)以外                                                                                   | P5                     | CB-ADPC-MPA002（注3）<br>CB-CAN-AJ002（変換ケーブル）                   | －          | B      |
| (6) | RCP3               |                                                                                               | P5                     | CB-RCAPC-MPA□□□（-RB）                                                  | －          | C      |
| (7) | RCP2 RCP2CR RCP2W  | RCP2（標準タイプ）のロータリー小型タイプ<br>RCP2-RTBS/RTBSL/RTCS/RTCSL                         | P5                     | CB-ADPC-MPA002（注3）<br>[CB-RPSEP-MPA□□□]                             | 要          | D      |
| (8) |                    | RCP2CR（クリーンタイプ）、RCP2W（防塵防滴タイプ）<br>上記タイプのロータリー（RT＊）<br>上記タイプのGRS/GRM/GR3SS/GR3SM | P5                     | CB-ADPC(2)-MPA□□□-RB                                                    | －          | A      |
| (9) |                    | 全（標準/クリーン/防塵防滴）タイプのGRSS/GRLS/GRST/GRHM/GRHB<br>全長ショートタイプ（RCP2のみ）RCP2-SRA4R/SRGS4R/SRGD4R | P5                     | CB-RCAPC-MPA□□□（-RB）                                                  | －          | C      |
| (10)|                    | 高推力タイプ（注1）                                                                             | P6                     | CB-ADPC-MPA002（注3）<br>[CB-CFA-MPA□□□（-RB）]                        | 要          | D      |
| (11)|                    | (7)～(10)以外                                                                                  | P5                     | CB-ADPC-MPA002（注3）<br>[CB-PSEP-MPA□□□]                              | 要          | D      |
| (12)| RCA2/RCA2CR/RCA2W/RCL |                                                                                               | A6                     | CB-RCAPC-MPA□□□（-RB）                                                  | －          | C      |
| (13)| RCA2/RCA2CR/RCA2W（CNSオプション） |                                                                                               | A6                     | CB-ADPC(2)-MPA□□□（-RB）                                                | －          | A      |
| (14)| RCA/RCACR/RCAW     | 全長ショートタイプ（RCAのみ）<br>RCA-SRA4R/SRGS4R/SRGD4R                                        | A6                     | CB-RCAPC-MPA□□□（-RB）                                                  | －          | C      |
| (15)|                    | (14)以外                                                                                      | A6                     | CB-ADPC-MPA002（注3）<br>[CB-ASEP2-MPA□□□]                             | 要          | D      |

</contents>
