ファイル名: RCON(MJ0384-8D)_page765

<overview>
本ページは「エレシリンダーのアラームの原因と対策」に関する内容で構成されています。  
主に以下のセクションで構成されています。  
・テキスト部分：アラームグループDおよびEの説明と原因・対処の概要  
・表部分：アラームグループDとEそれぞれの原因と対処をまとめた表が2つ掲載  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### アラームグループD：エレシリンダー制御部～エンコーダー間異常アラーム
エレシリンダー制御部とエンコーダー間で異常が発生した場合のアラームについて説明しています。

#### アラームグループE：供給電圧・電源容量異常アラーム
エレシリンダーに供給されている電源電圧や容量に異常が発生した場合のアラームについて説明しています。

### 表
#### アラームグループD：エレシリンダー制御部～エンコーダー間異常アラーム

| No. | 原因 | 対処 |
| :--- | :--- | :--- |
| 1 | 電源を再投入しても同様のアラームが発生する場合、エレシリンダー内部のエレシリンダー制御部～モーター間接続ケーブルのコネクターによって接触不良が発生している可能性があります。 | 電源を遮断後、エレシリンダー内部の接続ケーブルコネクターを外し、奥までしっかりと挿入しなおしてください。改善されない場合はケーブル断線も考えられるため、接続ケーブルの交換を推奨します。 |
| 2 | 交換したエレシリンダー制御部とモーターの仕様が一致していない可能性があります。<br>【例】インクリメンタル仕様のモーターとバッテリーレスアブソ仕様のエレシリンダー制御部を組み合わせてしまった場合 | 電源を遮断し、交換したモーターとエレシリンダー制御部仕様が互いに“バッテリーレスアブソ仕様同士”もしくは“インクリメンタル仕様同士”となっているか再確認してください。<br>→交換方法は、「各エレシリンダーの取扱説明書」を参照してください。 |
| 3 | エレシリンダー制御部～エンコーダー間の通信が、周辺機器のノイズの影響を受け、正常にできなくなりました。 | 周辺機器の電源を遮断し、エレシリンダーのみで動作させ、本アラームが再び発生するか確認してください。再発しなかった場合は、周辺機器からのノイズの影響をエレシリンダーが受けている可能性があります。周辺機器類のノイズ対策（アース対策・動力線配線・静電遮蔽など）見直しをお願いします。 |
| 4 | 上記の確認を実施し電源環境を改善した後も、このアラームが再発する場合は、モーターもしくはエレシリンダー制御部が故障している可能性が高いです。 | モーターもしくはエレシリンダーのコントローラカバーAssyの交換を行ってください。一部機種では、お客様でモーター交換ができません。その場合は、当社まで連絡してください。交換方法は、「各エレシリンダーの取扱説明書」を参照してください。 |
| 5 | バッテリーレスアブソリュート仕様の場合：パラメーターNo.3 または No.4 を変更した。 | アラームリセット後、原点復帰を行ってください。 |

#### アラームグループE：供給電圧・電源容量異常アラーム

| No. | 原因 | 対処 |
| :--- | :--- | :--- |
| 1 | カタログ記載のスペックを超えた条件で、エレシリンダーを使用している可能性があります。 | 可搬質量・加減速度・速度などの仕様値を確認して、適切に調整してください。 |
| 2 | 電源電圧が、21.6～26.4Vの範囲外となったことを検出しました。 | 【対処1】電源電圧が21.6～26.4Vの範囲に入っているか、テスターで確認してください。範囲外だった場合は、DC24V電源の容量不足です。当社カタログによって必要容量を確認いただき、電源環境の改善をお願いします。<br>【対処2】電源I/Oケーブルの長さが10m以内かどうか、線径が適合値より細くないかどうか確認してください。正しい配線処理がされているかどうか確認してください。 |
| 3 | 上記の確認を実施し電源環境を改善した後も、このアラームが再発する場合は、エレシリンダー制御部が故障している可能性が高いです。 | エレシリンダーのコントローラカバーAssyを交換してください。交換方法は、「各エレシリンダーの取扱説明書」を参照してください。 |
</contents>
