ファイル名: RCON(MJ0384-8D)_page182

<overview>
本ページは「200Vドライバーユニット、200Vドライバー用ファンユニット」に関する説明の一部であり、主にエンコーダーコネクターについて記載されています。構成は以下の通りです。
- テキスト部分：エンコーダーコネクターの説明
- 画像部分：エンコーダーコネクターの写真
- 表部分：基板側コネクターのピン番号、信号名、説明をまとめた表
グラフやフローチャートは含まれていません。
</overview>

<contents>
### テキスト
#### エンコーダーコネクター
アクチュエーターのエンコーダーケーブルと接続するためのコネクターです。

### 画像
- エンコーダーコネクターの写真（ピン番号13～26、1～14が表示されている）

### 表
#### 基板側コネクター仕様
| 項目 | 内容 |
| :--- | :--- |
| 基板側コネクター | 10226-52A2PL（3M） |

#### ピン配列一覧

| ピン番号 | 信号名 | 説明 |
| :---: | :--- | :--- |
| 1 | A+ | エンコーダー +A相入力 |
| 2 | A- | エンコーダー −A相入力 |
| 3 | B+ | エンコーダー +B相入力 |
| 4 | B- | エンコーダー −B相入力 |
| 5 | Z+ | エンコーダー +Z相入力 |
| 6 | Z- | エンコーダー −Z相入力 |
| 7 | SRD+ | 送受信差動＋ |
| 8 | SRD- | 送受信差動− |
| 9 | － | － |
| 10 | － | － |
| 11 | NC | 未接続 |
| 12 | 24VOUT | センサー用電源出力 |
| 13 | 0V | 24V電源GND |
| 14 | － | － |
| 15 | － | － |
| 16 | VCC | エンコーダー電源 |
| 17 | GND | GND |
| 18 | － | － |
| 19 | － | － |
| 20 | BK- | ブレーキ開放出力信号− |
| 21 | BK+ | ブレーキ開放出力信号＋ |
| 22 | NC | 未接続 |
| 23 | RSV | センサー入力（リザーブ） |
| 24 | OT | センサー入力（オーバートラベル） |
| 25 | CLEEP | センサー入力（クリープセンサー） |
| 26 | LS | センサー入力（リミットスイッチ） |
</contents>
