ファイル名: RCON(MJ0384-8D)_page497

<overview>
このページは「入出力信号一覧」の表形式の情報で構成されています。内容は主にPLC入力信号の各種信号種類ごとに、ビット数、記号、信号の内容説明、詳細参照ページをまとめた表です。テキストは信号の説明が中心で、表形式で整理されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 入出力信号一覧（フル直値2モード）
| 信号種類           | ビット           | 記号 | 内容                                                                                                                                                                                                                         | 詳細   |
|--------------------|------------------|------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------|
| 現在位置           | 32ビットデータ   | ―    | 現在位置32ビット符号付き整数を格納。単位は0.01mm（DDモーター以外）、0.001°（DDモーター）。読み取り例：000003FFₕ = 1023（10進数）= 10.23mm（単位が0.01の場合）。16進数読み取り時は負数は2の補数表示。                             | 6.5.2  |
| 指令電流           | 32ビットデータ   | ―    | 32ビット整数。現在指令している電流値を格納。単位はmA。読み取り例：000003FFₕ = 1023（10進数）= 1023mA。                                                                                                                   | 6.5.2  |
| 現在速度           | 32ビットデータ   | ―    | 32ビット符号付き整数。現在速度を格納。単位は0.01mm/s。正数は反原点方向へ移動中、負数は原点方向へ移動中。読み取り例：000003FFₕ = 1023（10進数）= 10.23mm/s。16進数読み取り時は負数は2の補数表示。                                     | 6.5.2  |
| アラームコード     | 16ビットデータ   | ―    | 16ビット整数。アラーム（メッセージレベル含む全アラーム）発生時にアラームコードを格納。発生していない場合は"0ₕ"。詳細は「10.4.4 アラームコード別の原因と対策」を参照。簡易コードではないため注意。                                         | 6.5.2  |
| 過負荷警告モニター | 16ビットデータ   | ―    | 16ビット整数。モーターの負荷率（%）を表示。                                                                                                                                                                               | 7.5.2  |
| 現在指令値         | 32ビットデータ   | ―    | 32ビット符号付き整数。単位は0.01mm。コントローラーが現在指令している運転計画上の位置を示す。16進数読み取り時は負数は2の補数表示。                                                                                     | ―      |
| 推定回生放電電力量 | 32ビットデータ   | ―    | 32ビット整数。単位は0.01W。回生抵抗に印加している平均電力の推定値。更新周期はドライバーにより異なる。RCON-SC、SCON系は512ms、RCON-AC、RCON-DCは256ms。規定値以上でアラーム0CA過熱を出力。運転条件見直しや外部抵抗追加を検討。RCON-PC/PCFは非対応。 | ―      |
| 通算走行距離       | 32ビットデータ   | ―    | 32ビット整数。単位はm。                                                                                                                                                                                                     | ―      |
</contents>
