ファイル名: RCON(MJ0384-8D)_page199

<overview>
このページは「PIO/SIO/SCON拡張ユニット」に関する説明で構成されています。主に表形式で、拡張ユニット本体および付属品の品名、形状（写真付き）、数量、備考が記載されています。テキストは表の説明に限定されており、グラフやフローチャートは含まれていません。
</overview>

<contents>
### 表
#### PIO/SIO/SCON拡張ユニット構成品一覧

| 品名                   | 形状（写真付き）                                                                 | 数量 | 備考                             |
|------------------------|---------------------------------------------------------------------------------|------|----------------------------------|
| **本体**               |                                                                                 |      |                                  |
| PIO/SIO/SCON拡張ユニット | 拡張ユニット本体の写真                                                           | 1    | RCON-EXT-PN-*（PNP仕様）<br>RCON-EXT-NP-*（NPN仕様） |
| **付属品**             |                                                                                 |      |                                  |
| ターミナルコネクター   | ターミナルコネクターの写真                                                       | 1    | 単品型式：RCON-EXT-TR           |
| PIOケーブル            | PIOケーブルの図（線図）                                                         | 1    | CB-PAC-PIO***                   |
| 拡張SIOポートコネクター | 拡張SIOポートコネクターの写真                                                   | 1    | FMC1.5/3-STF-3.5                |
| ファーストステップガイド | ファーストステップガイドの表紙写真                                             | 1    | MJ0393                         |
| 安全ガイド             | 安全ガイド第6版の表紙写真                                                       | 1    | M0194                         |

</contents>
