ファイル名: RCON(MJ0384-8D)_page475

<overview>
このページは、PLC入力におけるポジショナー3モードの入出力信号一覧を示しています。  
構成は主に表形式で、信号種類、ビット、信号名、内容、詳細の5つのカラムから成り立っています。  
テキスト部分は表の説明や注釈が含まれており、グラフや図はありません。
</overview>

<contents>
### テキスト
#### 【入出力信号一覧】ポジショナー3モード
- ONは該当ビットが「1」、OFFは該当ビットが「0」を示す。

### 表
| 信号種類 | ビット | 信号名 | 内容 | 詳細 |
| :--- | :--- | :--- | :--- | :--- |
| PLC入力 状態信号 | b15 | EMGS | 非常停止状態【ON：非常停止状態】 | 6.3【2】 |
| 〃 | b14 | ZONE1 | ゾーン出力モニター1【ON：現在位置がゾーン1の設定範囲内にある、OFF：限定位置が設定範囲内にない】 | 6.3【9】 |
| 〃 | b13 | PSFL | 押付け動作空振り【ON：押付け動作が空振りで完了】 | 6.3【19】 |
| 〃 | b12 | SV | 運転準備完了【ON：運転準備完了（サーボON）】 | 6.3【5】 |
| 〃 | b11 | ALM | アラーム【ON：アラーム発生中、OFF：アラーム無し】 | 6.3【3】 |
| 〃 | b10 | MOVE | 移動中【ON：移動中、OFF：停止中】 | 6.3【6】【7】 |
| 〃 | b9 | HEND | 原点復帰完了【ON：原点復帰完了後、原点を維持している状態】 | 6.3【6】 |
| 〃 | b8 | PEND | 位置決め完了【ON：動作完了後、サーボONで停止中、OFF：押付け空振りの場合、サーボOFFで停止中】 | 6.3【5】～【7】 |
| 完了ポジションNo. | b7 | - | 使用できません | - |
| 〃 | b6-b0 | PM＊＊ | 完了ポジションNo.を2進数で読み取る。アラーム発生中は簡易アラームコードを出力する。[10.4.2 簡易アラームコード]参照 | 6.5.2 |

</contents>
