ファイル名: RCON(MJ0384-8D)_page76

<overview>
このページは「2.1 基本仕様」に関する内容で、主に表形式で構成されています。表はケーブル長、フィールドネットワークインターフェイス、SIOインターフェイス（ティーチングポート、USBポート、Ethernetポート）、データ記憶装置、カレンダー機能、安全カテゴリー対応、駆動源遮断方式、保護機能、予防・予兆保全機能の各項目とその仕様を詳細に示しています。テキスト部分は注釈として最大接続可能数や外部各軸遮断に関する注意事項が記載されています。グラフや図はなく、表中心の技術仕様説明ページです。
</overview>

<contents>
### テキスト
#### 2.1 基本仕様
本ページはRCONシステムの基本仕様を示しています。

##### 注釈
- 注1：最大接続可能軸数に関する注意
- 注2：RCON-SCは外部各軸遮断ができないこと、ドライバー停止コネクターまたは安全機能用I/Oコネクターを安全回路につなぐことで、コントローラー内部の遮断回路でモーターへのエネルギー供給を遮断可能であることを説明。

### 表
#### 基本仕様一覧

| 項目                     | 仕様                                                                                              |
|--------------------------|-------------------------------------------------------------------------------------------------|
| ケーブル長               | モーター・エンコーダーケーブル：20m以下（RCDは10m以下）<br>200Vモーター用モーターケーブル：30m以下<br>200Vモーター用エンコーダーケーブル：30m以下<br>SCON接続ケーブル：3m以下/本、全長10m以下<br>PIOケーブル：10m以下<br>EC接続ユニット用ケーブル：10m以下 |
| フィールドネットワークインターフェイス | CC-Link、CC-Link IE Field、CC-Link IE TSN、DeviceNet、EtherCAT、EtherNet/IP、PROFIBUS-DP、PROFINET IO、EtherCATモーション（CiA402）、SSCNETⅢ/H、MECHATROLINK-Ⅲ |
| SIOインターフェイス     | **ティーチングポート**<br>通信方式：RS-485（EIA RS485準拠）<br>通信速度：9.6/19.2/38.4/57.6/115.2/230.4 kbps<br>通信方法：半二重通信 調歩同期式<br>プロトコル：Modbus（伝送モード：RTU）<br><br>**USBポート**<br>通信方式：USB<br>通信速度：12Mbps<br><br>**Ethernetポート（オプション）**<br>通信方式：Ethernet<br>通信速度：10M/100Mbps<br>コネクション数：4<br>プロトコル：Modbus/TCP、ICMP（echo応答のみ） |
| データ記憶装置           | FRAM 256kbit（ゲートウェイユニット、24Vドライバーユニット）<br>SRAM 4Mbit（200Vドライバーユニット） |
| カレンダー機能           | 保持機能：約10日間、充電時間：約100時間                                                           |
| 安全カテゴリー対応       | B（安全カテゴリー対応タイプは、外部回路により4まで対応可能）                                       |
| 駆動源遮断方式           | 内部半導体遮断、外部全軸一括遮断、外部各軸遮断（注2）                                             |
| 保護機能                 | 過電流、温度異常、エンコーダー断線、過負荷                                                       |
| 予防・予兆保全機能       | 電解コンデンサー容量低下、ファン回転数低下                                                       |
</contents>
