ファイル名: RCON(MJ0384-8D)_page844

<overview>
本ページは「RCP3シリーズ」のアクチュエーター仕様一覧を示した表で構成されています。テキスト部分は見出しとシリーズ名のみで、ページ全体は詳細な仕様を示す表が中心です。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCP3シリーズの各種アクチュエーターの仕様を一覧表形式で示しています。

### 表
#### RCP3シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ       | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付け方向 | 最低速度[mm/s] | 最高速度[mm/s]                                                                 | 最大加減速度[G] | 最小押付け力[N] | 最大押付け力[N] | 定格掛け付け速度[mm/s] |
|--------------------------|--------------|----------|----------------------|------------|------------|----------------|-------------------------------------------------------------------------------|-----------------|------------------|------------------|-------------------------|
| SA2AC SA2AR              | すべりねじ   | 800      | 4                    | 2          | 水平       | 5              | 180(at 25st) 200(at 50〜100st)                                               | 0.2             | -                | -                | -                       |
|                          |              |          | 1                    |            |            | 3              | 100                                                                           |                 |                  |                  |                         |
|                          |              |          |                      |            |            | 2              | 50                                                                            |                 |                  |                  |                         |
| SA2BC SA2BR              | すべりねじ   | 800      | 6                    |            | 水平       | 8              | 180(at 25st) 280(at 50st) 300(at 75〜150st)                                  | 0.2             | -                | -                | -                       |
|                          |              |          | 4                    |            |            | 5              | 180(at 25st) 200(at 50〜150st)                                               |                 |                  |                  |                         |
|                          |              |          | 2                    |            |            | 3              | 100                                                                           |                 |                  |                  |                         |
| SA3C SA3R                | ボールねじ   | 800      | 6                    |            | 水平       | 8              | 300                                                                           | 0.3             | 16               | 30               |                         |
|                          |              |          |                      |            | 垂直       |                |                                                                               | 0.2             |                  |                  |                         |
|                          |              |          | 4                    |            | 水平       | 5              | 200                                                                           | 0.3             | 25               | 45               | 20                      |
|                          |              |          |                      |            | 垂直       |                |                                                                               | 0.2             |                  |                  |                         |
|                          |              |          | 2                    |            | 水平/垂直 | 3              | 100                                                                           | 0.2             | 50               | 90               |                         |
| SA4C SA4R                | ボールねじ   | 800      | 10                   |            | 水平       | 13             | 500                                                                           | 0.7             | 25               | 40               |                         |
|                          |              |          | 5                    |            | 垂直       | 7              | 250                                                                           | 0.3             | 50               | 80               | 20                      |
|                          |              |          | 2.5                  |            | 水平/垂直 | 4              | 125                                                                           | 0.7             | 100              | 160              |                         |
| RCP3 (スライダータイプ)  | SA5C SA5R    | ボールねじ | 800                  | 20 (SA5Cのみ) | 水平       | 25             | 1000(at 50〜600st) 910(at 650st) 790(at 700st) 690(at 750st) 610(at 800st) | 0.7             | 20               | 34               |                         |
|                          |              |          |                      |            | 垂直       |                |                                                                               | 0.2             |                  |                  |                         |
|                          |              |          | 12                   |            | 水平       | 15             | 600(at 50〜550st) 570(at 600st) 490(at 650st) 425(at 700st) 370(at 750st) 330(at 800st) | 0.7             | 40               | 58               |                         |
|                          |              |          |                      |            | 垂直       |                |                                                                               | 0.3             |                  |                  |                         |
|                          |              |          | 6                    |            | 水平       | 8              | 300(at 50〜550st) 285(at 600st) 245(at 650st) 210(at 700st) 185(at 750st) 165(at 800st) | 0.7             | 80               | 115              | 20                      |
|                          |              |          |                      |            | 垂直       |                |                                                                               | 0.3             |                  |                  |                         |
|                          |              |          | 3                    |            | 水平       | 4              | 150(at 50〜550st) 140(at 600st) 120(at 650st) 105(at 700st) 90(at 750st) 80(at 800st) | 0.7             | 160              | 230              |                         |
|                          |              |          |                      |            | 垂直       |                |                                                                               | 0.3             |                  |                  |                         |
|                          | SA6C SA6R   | ボールねじ | 800                  | 20 (SA6Cのみ) | 水平       | 25             | 1000(at 50〜600st) 910(at 650st) 790(at 700st) 690(at 750st) 610(at 800st) | 0.7             | 20               | 34               | 20                      |
|                          |              |          |                      |            | 垂直       |                |                                                                               | 0.2             |                  |                  |                         |
|                          |              |          | 12                   |            | 水平       | 15             | 600(at 50〜550st) 570(at 600st) 490(at 650st) 425(at 700st) 370(at 750st) 330(at 800st) | 0.7             | 40               | 58               |                         |
|                          |              |          |                      |            | 垂直       |                |                                                                               | 0.3             |                  |                  |                         |

</contents>
