ファイル名: RCON(MJ0384-8D)_page881

<overview>
本ページは「RCS2シリーズ」のアクチュエーター仕様一覧を示す表で構成されています。テキストは主に表のタイトルや注釈部分に限定されており、ページ全体は詳細な仕様データをまとめた大きな表で占められています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCS2シリーズの各種アクチュエーターの仕様を一覧表形式で示しています。

### 表
#### RCS2シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | モーター出力(W) | エンコーダーパルス数 | リード(mm) | 取付け方向 | 最高速度(mm/s) | 最大加減速度(G) | 最小押付力(N) | 最大押付力(N) | 定格取付け速度(mm/s) |
|--------------------------|--------|-----------------|-----------------------|------------|------------|----------------|-----------------|---------------|---------------|-----------------------|
| RCS2 (ロッドタイプ)       |        |                 |                       |            |            |                |                 |               |               |                       |
|                          | RN5N RP5N GS5N GD5N | 60 | インクリメンタル1600 | 10         | 水平       | 380(at 75st) 280(at 50st) | 0.3           | -             | -             | -                     |
|                          |                        |    |                       |            | 垂直       | 330(at 75st) 230(at 50st) | 0.2           |               |               |                       |
|                          |                        |    |                       | 5          | 水平       | 250            | 0.3           | -             | -             | -                     |
|                          |                        |    |                       |            | 垂直       | 250(at 75st) 230(at 50st) | 0.2           |               |               |                       |
|                          |                        |    |                       | 2.5        | 水平/垂直  | 125            | 0.2           |               |               |                       |
|                          | SD5N                   | 60 | 1600                  | 10         | 水平       | 380(at 75st) 280(at 50st) | 0.3           | -             | -             | -                     |
|                          |                        |    |                       |            | 垂直       | 330(at 75st) 230(at 50st) | 0.2           |               |               |                       |
|                          |                        |    |                       | 5          | 水平       | 250            | 0.3           | -             | -             | -                     |
|                          |                        |    |                       |            | 垂直       | 250(at 75st) 230(at 50st) | 0.2           |               |               |                       |
|                          |                        |    |                       | 2.5        | 水平/垂直  | 125            | 0.2           |               |               |                       |
|                          | RA7AD RGS7AD RGD7AD    | 60 | 3072                  | 12         | 水平/垂直  | 600(at 50～250st) 505(at 300st) | 0.15          | -             | -             | -                     |
|                          |                        |    |                       | 6          |            | 300(at 50～250st) 250(at 300st) | 0.1           |               |               |                       |
|                          |                        |    |                       | 3          |            | 150(at 50～250st) 125(at 300st) | 0.05          |               |               |                       |
|                          |                        | 100|                       | 12         |            | 600(at 50～250st) 505(at 300st) | 0.2           |               |               |                       |
|                          |                        |    |                       | 6          |            | 300(at 50～250st) 250(at 300st) | 0.1           |               |               |                       |
|                          | SRA7BD SRGS7BD SRGD7BD | 60 | 3072                  | 16         | 水平/垂直  | 800            | 0.35          | -             | -             | -                     |
|                          |                        |    |                       | 8          |            | 400            | 0.25          |               |               |                       |
|                          |                        |    |                       | 4          |            | 200            | 0.15          |               |               |                       |
|                          |                        |100/150|                    | 16         |            | 800            | 0.4           |               |               |                       |
|                          |                        |    |                       | 8          |            | 400            | 0.3           |               |               |                       |
|                          |                        |    |                       | 4          |            | 200            | 0.2           |               |               |                       |
|                          | RA13R                  | 750| 16384                 | 2.5        | 水平/垂直  | 85(at 50st) 120(at 100st) 125(at 150～200st) | 0.02          | 1000          | 9800          | 10                    |
|                          |                        |    |                       | 1.25       |            | 62             | 0.01          | 2000          | 19600         | 10                    |
| [クリーン仕様][防塵防滴仕様] RCS2CR/RCS2W (ロッドタイプ) | RN5NB RP5NB GS5NB GD5NB SD5NB | 60 | インクリメンタル1600 | 10 | 水平 | 380(at 75st) 280(at 50st) | 0.3 | - | - | - |
|                          |                        |    |                       |            | 垂直       | 330(at 75st) 230(at 50st) | 0.2           |               |               |                       |
|                          |                        |    |                       | 5          | 水平       | 250            | 0.3           | -             | -             | -                     |
|                          |                        |    |                       |            | 垂直       | 250(at 75st) 230(at 50st) | 0.2           |               |               |                       |
|                          |                        |    |                       | 2.5        | 水平/垂直  | 125            | 0.2           |               |               |                       |
| RCS2 (テーブルタイプ)     | TCA5N TWA5N TFA5N      | 60 | インクリメンタル1600  | 10         | 水平       | 380(at 75st) 280(at 50st) | 0.3           | -             | -             | -                     |
|                          |                        |    |                       |            | 垂直       | 330(at 75st) 230(at 50st) | 0.2           |               |               |                       |
|                          |                        |    |                       | 5          | 水平       | 250            | 0.3           | -             | -             | -                     |
|                          |                        |    |                       |            | 垂直       | 250(at 75st) 230(at 50st) | 0.2           |               |               |                       |
|                          |                        |    |                       | 2.5        | 水平/垂直  | 125            | 0.2           |               |               |                       |

**注記:**
- 速度の単位はmm/s、加減速度はG（重力加速度）、押付力はN（ニュートン）、リードはmm単位。
- 速度の後の括弧内はストローク長さ（st）に対応した速度値。
- 「-」は該当データなしまたは適用外を示す。
</contents>
