ファイル名: RCON(MJ0384-8D)_page735

<overview>
本ページは「ゲートウェイユニットのアラームの原因と対策」に関する内容で構成されています。主に表形式で、アラームコード、アラーム名称、原因および対策が一覧で示されています。テキスト部分は表の説明に付随する形で、各アラームの詳細な原因と対策が記載されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### ゲートウェイユニットのアラームの原因と対策

| アラームコード | アラーム名称                     | 原因/対策                                                                                                                                                                                                                   |
| :------------- | :------------------------------ | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 9B (89B)       | フィールドネットワークモジュール異常 | 原因：フィールドネットワークモジュールが故障した可能性があります。<br>対策：電源を再投入しても再発する場合、ゲートウェイユニットを交換してください。                                                                                   |
| 9C (89C)       | フィールドネットワークモジュール未検出 | 原因：フィールドネットワーク用通信基板が確認できませんでした。<br>1) 通信基板が挿入されていない。<br>2) 通信基板の故障<br>対策：電源再投入してください。再度発生する場合、ゲートウェイユニットを交換してください。                                         |
| 9D (89D)       | フィールドネットワークモジュール初期化タイムアウト | 原因：フィールドネットワークモジュールの初期化が一定時間経過しても完了しませんでした。<br>対策：電源再投入してください。再度発生する場合、ゲートウェイユニットを交換してください。                                                             |
| A0 (8A0)       | 制御電源電圧過大                 | 原因：制御電源電圧が過電圧判定値以上（DC24Vの120%=28.8V）となりました。<br>1) DC24V電源の電圧が高い<br>2) 電流容量に余裕がない電源で、リモートセンシング機能を使用している<br>3) ゲートウェイユニット内部の部品故障<br>対策：<br>1) 電源電圧を確認してください<br>2) 電流容量に余裕を持った電源の使用、またはリモートセンシング機能を使用しないことを検討してください<br>3) ゲートウェイユニットを交換してください。 |
| A1 (8A1)       | 制御電源電圧低下                 | 原因：制御電源電圧が電圧低下判定値以下（DC24Vの70%=16.8V）となりました。<br>1) DC24V電源の電圧が低い<br>2) ゲートウェイユニット内部の部品故障<br>対策：電源電圧を確認してください。電圧値が正常であれば、ゲートウェイユニットを交換してください。                                         |
| A7 (8A7)       | 外部配線用電源電圧低下           | 原因：ゲートウェイユニットに供給されている制御電源電圧が16.8V（DC24Vの70%）以下に低下しました。<br>1) 制御電源電圧の低下<br>2) ゲートウェイユニット内部の部品故障<br>対策：<br>1) ゲートウェイユニットの制御電源コネクターにDC24V±10%の電圧が印加されているか確認してください。電圧が低い場合、DC24V電源の故障の可能性があります。<br>2) ゲートウェイユニットを交換してください。 |
| B9 (8B9)       | 初期化時ドライバーパラメーター読出し異常 | 原因：ドライバーユニットからパラメーターを読出すことができませんでした。<br>1) ドライバーユニットのバージョンがモーションネットワークに対応していない。<br>2) 接触不良<br>3) ノイズの影響<br>4) ドライバーユニットの故障<br>5) ゲートウェイユニットの故障<br>対策：<br>1) バージョンアップが必要です。当社まで問い合わせしてください。<br>2) 再度、ゲートウェイ、ドライバーユニットなどの脱着を行い、アラームが再発するか確認してください。<br>3) ノイズ対策を行ってください。<br>4) ドライバーユニットを交換してください。<br>5) ゲートウェイユニットを交換してください。 |

</contents>
