ファイル名: RCON(MJ0384-8D)_page644

<overview>
このページは「パラメーターの詳細」に関する内容で構成されています。  
主にテキスト説明と表があり、パラメーターNo.109とNo.110の詳細が記載されています。  
テキスト部分ではパラメーターの用途や参照先が説明されており、表部分ではパラメーターの名称、単位、入力範囲、初期値が示されています。  
また、サーボOFF時の停止方法に関する詳細な設定値の表も含まれています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 制振 No.初期値（パラメーターNo.109）
制振制御専用パラメーターです。  
詳細は「7.1 制振制御機能」を参照してください。

#### サーボOFF時停止方法（パラメーターNo.110）
サーボOFF指令、駆動源遮断、およびアラーム発生（動作解除レベル）時に、アクチュエーターの停止方法を選択します。

### 表
#### 【制振 No.初期値（パラメーターNo.109）】
| No.  | 名称           | 単位 | 入力範囲 | 工場出荷時の初期値 |
| :--- | :------------- | :--- | :------- | :----------------- |
| 109  | 制振 No.初期値 | －   | 0～3     | 0                  |

#### 【サーボOFF時停止方法（パラメーターNo.110）】
| No.  | 名称               | 単位 | 入力範囲           | 工場出荷時の初期値 |
| :--- | :----------------- | :--- | :----------------- | :----------------- |
| 110  | サーボOFF時停止方法 | －   | 0：急停止<br>1：減速停止 | 0                  |

#### 停止指令と設定値の関係
| 停止指令               | 0：急停止 制振制御中       | 0：急停止 通常位置決め制御中 | 1：減速停止 制振制御中 | 1：減速停止 通常位置決め制御中 |
| :--------------------- | :------------------------- | :--------------------------- | :--------------------- | :----------------------------- |
| 一時停止               | 制振減速停止               | 通常減速停止                 |                        |                                |
| サーボOFF              | 非常停止トルクによる急停止 |                              | 制振減速停止           | 通常減速停止                   |
| 駆動源遮断             | 非常停止トルクによる急停止 |                              |                        |                                |
| アラーム（動作解除レベル） | 非常停止トルクによる急停止 |                              |                        |                                |
| アラーム（コールドスタート） | 非常停止トルクによる急停止 |                              |                        |                                |
</contents>
