ファイル名: SCON2(MJ0458-1E)_page420

<overview>
このページは「安全カテゴリーへの対応」に関する内容で構成されています。テキスト部分ではダミープラグの接続方法と注意点が説明されています。表部分ではDP-4Sプラグのピン配列と信号名称が一覧化されています。図部分にはDP-4Sプラグの実物写真と寸法図が掲載されており、プラグの形状とサイズが視覚的に示されています。全体として、接続コネクターの仕様と配線情報を中心に構成されています。
</overview>

<contents>
### テキスト
#### ダミープラグ
- ティーチングボックス接続コネクターに接続する必要がある。
- AUTOモードに設定した場合は必ず接続しなければならない。
- 接続しないと非常停止状態のままになる。

型式：DP-4S

### 図
- DP-4Sプラグの実物写真
- プラグの寸法図（単位：mm）
  - 幅：24.2
  - 高さ：43.6～49
  - 奥行き：26
  - その他詳細寸法も記載

### 表
#### DP-4Sプラグ ピン配列

| 信号       | No.  |
|------------|-------|
| GND        | 1     |
| EMGS       | 2     |
| VCC        | 3     |
| DTR        | 4     |
| EMGOUT2    | 5     |
| EMGIN2     | 6     |
| NC         | 7     |
| RSVCC      | 8     |
| EMGIN1     | 9     |
| NC         | 10    |
| NC         | 11    |
| EMGOUT1    | 12    |
| RTS        | 13    |
| CTS (GND)  | 14    |
| TXD        | 15    |
| RXD        | 16    |
| DSR        | 17    |
| NC         | 18    |
| NC         | 19    |
| RSVTBX1    | 20    |
| RSVTBX2    | 21    |
| ENBVCC2    | 22    |
| ENBTBX1    | 23    |
| ENBVCC1    | 24    |
| ENBTBX2    | 25    |
| GND        | 26    |

- 右側に「短絡処理」として複数ピンがまとめられていることが示されている。
</contents>
