ファイル名: SCON2(MJ0458-1E)_page399

<overview>
本ページは「アラームについて」の章の一部であり、主に表形式で構成されています。内容はアラームコードごとにアラーム名称とその原因および対策が記載された一覧表です。テキスト部分は表の説明や補足はなく、表がページ全体の主要構成要素となっています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### アラームコード別のアラーム名称と原因・対策一覧

| アラームコード | アラーム名称                         | 原因/対策                                                                                                                                                                                                                          |
|:--------------|:---------------------------------|:---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 0EB           | バッテリーレスアブソエンコーダー異常検出 | 原因: バッテリーレスアブソエンコーダーが位置情報を正常に検出できない。<br>対策: コネクター部の断線の有無や接続状況を確認。ケーブルが正常ならエンコーダー故障の可能性あり。メーカーへ連絡。                                                                                   |
| 0EE           | アブソリュートエンコーダー異常検出2       | 原因: アブソリュートエンコーダーが位置情報を正常に検出できない状態。<br>1. バッテリー電圧低下<br>2. エンコーダー中継ケーブルやアクチュエーター側付属ケーブルの断線、コネクター接続不良<br>対策: 電源投入時の軽故障アラーム出力を確認し、OFFならバッテリー交換。コネクター断線確認。必要ならリセット。正常なら故障の可能性。メーカーへ連絡。 |
| 0EF           | アブソリュートエンコーダー異常検出3       | 原因: ABSエンコーダーオーバースピードエラー。垂直軸で電源遮断時のブレーキ解除による落下で加速度限界超過時に発生。通常は発生しない。<br>対策: 発生時はアブソリュートリセットが必要。                                                                                             |
| 0F0           | ドライバーロジックエラー                 | 原因: 負荷過大、パラメーター不整合、ノイズ、コントローラー故障など。<br>対策: メーカーへ連絡。                                                                                                                                       |
| 0F2           | フィールドバスモジュール異常               | 原因: フィールドネットワーク基板の異常検出。<br>対策: パラメーター設定を確認。                                                                                                                                                     |
| 0F3           | フィールドバスモジュール未検出エラー         | 原因: フィールドネットワーク基板を検出できなかった。<br>対策: 電源再投入。解消しなければコントローラー交換。                                                                                                                       |
| 0F5           | 不揮発性メモリー書込みベリファイ異常         | 原因: 不揮発性メモリーに書込み時、メモリー内データと書込みデータの不一致検出（メモリー故障）。<br>対策: 電源再投入しても再現する場合はコントローラー交換。                                                                                   |
| 0F6           | 不揮発性メモリー書込みタイムアウト           | 原因: 書込み時に規定時間内に応答なし（メモリー故障）。<br>対策: 電源再投入しても再現する場合はメーカーへ連絡。                                                                                                                     |
| 0F8           | 不揮発性メモリーデータ破壊                 | 原因: 起動時の不揮発性メモリーチェックで異常データ検出（メモリー故障）。<br>対策: 電源再投入しても再現する場合はコントローラー交換。                                                                                               |
| 0FA           | CPU異常                             | 原因: CPUが正常に動作していない。<br>1. CPU故障<br>2. ノイズによる誤動作<br>対策: 電源再投入しても再現する場合はコントローラー交換。                                                                                               |
</contents>
