ファイル名: SCON2(MJ0458-1E)_page506

<overview>
このページは「接続可能なアクチュエーターの仕様一覧」を示しており、主に表形式で構成されています。テキストはタイトルと注釈があり、表部分がメインで、グラフや図は含まれていません。表はアクチュエーターシリーズごとにタイプ、モーター出力、エンコーダーパルス数、リード、取付け方向、最高速度、最大加減速度、最小押付け力、最大押付け力、定格押付け速度の仕様をまとめています。
</overview>

<contents>
### テキスト
#### 10.3 接続可能なアクチュエーターの仕様一覧
【DD/DDAシリーズ】

### 表
| アクチュエーターシリーズ | タイプ | モーター出力 (W) | エンコーダーパルス数 | リード [mm] | 取付け方向 | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付け力 [N] | 最大押付け力 [N] | 定格押付け速度 [mm/s] |
|--------------------------|--------|-----------------|-----------------------|-------------|------------|-----------------|------------------|------------------|------------------|-----------------------|
| DD(CR) ※クリーン仕様含む | LT18S / LT18CS | 200 | 131072 | 減速比1/1 | 水平/垂直 | 1800度/s | - | - | - | - |
|                          | LT18P / LT18CP | 200 | 1048576 | 減速比1/1 | 水平/垂直 | 1800度/s | - | - | - | - |
|                          | LH18S / LH18CS | 600 | 131072 | 減速比1/1 | 水平/垂直 | 1440度/s | - | - | - | - |
|                          | LH18P / LH18CP | 600 | 1048576 | 減速比1/1 | 水平/垂直 | 1440度/s | - | - | - | - |
| DDA(CR) ※クリーン仕様含む | LT18CS | 200 | 131072 | 減速比1/1 | 水平/垂直 | 1800度/s | 9.99 | - | - | - |
|                          | LT18CP | 200 | 1048576 | 減速比1/1 | 水平/垂直 | 1440度/s | 9.99 | - | - | - |
|                          | LH18CS | 600 | 131072 | 減速比1/1 | 水平/垂直 | 1440度/s | 9.99 | - | - | - |
|                          | LH18CP | 600 | 1048576 | 減速比1/1 | 水平/垂直 | 1440度/s | 9.99 | - | - | - |
| 【防塵防滴仕様】 DDW     | LH18CS | 600 | 131072 | 減速比1/1 | 水平/垂直 | 1440度/s | 9.99 | - | - | - |
|                          | LH18CP | 600 | 1048576 | 減速比1/1 | 水平/垂直 | 1440度/s | 9.99 | - | - | - |

</contents>
