ファイル名: SCON2(MJ0458-1E)_page382

<overview>
本ページは「8.2 故障診断」セクションの一部で、「8.2.2 位置決めや速度の精度がでない（正しい動作をしない）」について説明しています。構成は主に表形式で、状況ごとの考えられる原因と確認・対策をまとめています。テキスト部分は表の補足説明や注意事項が含まれています。図やグラフはなく、表が中心の構成です。
</overview>

<contents>
### テキスト
#### 8.2.2 位置決めや速度の精度がでない（正しい動作をしない）
位置決めや速度の精度が出ない場合の原因と対策について説明しています。パルス列運転モード選択中はパルス列指令の調整を優先する旨の注意書きがあります。

#### 【1】ポジショナーモードの場合
ポジショナーモードでの位置決めに関する問題と原因、対策を示しています。

### 表
#### 位置決めや速度の精度がでない場合の状況別原因と対策

| 状況 | 考えられる原因 | 確認・対策 |
| :--- | :--- | :--- |
| 原点復帰すると途中で動作が完了してしまう。 | 当社の標準仕様の原点復帰動作は、メカエンドに担当だった後、反転し、原点位置で位置決め停止しています。<br>負荷が大きい場合や干渉物に当たった場合などには、メカエンドまで達しない位置でメカエンドと判定する場合がある。<br>1.定格を超える負荷質量が搭載されている<br>2.移動途中で干渉物に当たっている<br>3.アクチュエーターの固定方法、ボルトの片締めなどによりガイドにねじれ応力がある<br>4.アクチュエーター自体の摺動抵抗が大きい | 1.負荷を軽減してください。<br>2.干渉物を取除いてください。<br>3.固定ボルトをいったん緩めて、可動部がスムーズに動くか確認してください。<br>スムーズに動く場合は取付け面の歪みなどがないか確認し、アクチュエーターの取扱説明書に記載された取付け方法に従って再度取付けを行ってください。<br>4.グリースアップや3を実施してください。<br>また、アクチュエーターの機種によっては摺動が重い場合がある。 |
| 起動・停止時に衝撃がある。 | 加減速度の設定が高すぎる | 加減速度の設定を低くしてください。 |
| 減速停止時にオーバーシュートが発生する。 | 1.負荷イナーシャが大きい<br>2.減速度の設定が高すぎる<br>3.サーボゲインが高すぎる | 1.2.減速度の設定を低くしてください。<br>3.設定値を変更してください。 |
| 位置決め精度がでない。 | [6.2 サーボ調整]参照 |  |
| 移動中に速度ムラがある。 |  |  |
| 加減速がスムーズにできない（速度レスポンスが悪い）。 |  |  |
| 軌跡精度がでない。 |  |  |

#### ポジショナーモードの場合の状況別原因と対策

| 状況 | 考えられる原因 | 確認・対策 |
| :--- | :--- | :--- |
| 指令したポジションNo.の位置と違う位置へ位置決めする。 | PIO信号の処理に問題がある。<br>1.ポジションNo.指令後のスタート信号CSTRが早すぎる、または同時に入力されている。<br>2.PIO信号の断線やコネクターの接触不良により、正しいポジションNo.が指令されていない。 | 1.スタート信号は本コントローラーがポジションNo.を完全に読取ってから入力してください。<br>2.ティーチングツールのI/Oモニターで入力信号の確認をしてください。 |
| 位置決めは完了するが完了信号PENDが出力されない。 | PIO信号の処理に問題がある。<br>・スタート信号CSTRがOFFされていない。 | スタート信号CSTRは、移動開始後の位置決め完了信号PENDのOFFなどにより、位置決め完了前にOFFしてください。 |
</contents>
