ファイル名: SCON2(MJ0458-1E)_page473

<overview>
本ページは「RCS2シリーズ」の接続可能なアクチュエーターの仕様一覧を示す表で構成されています。テキストは表の注釈部分にあり、表はアクチュエーターシリーズごとのタイプ、モーター出力、エンコーダーパルス数、リード長、取付け方向、最高速度、最大加減速度、押付け力、定格押付け速度などの詳細な仕様をまとめています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 注釈
- タイプが網掛けされた機種は、オフボードチューニング機能に対応しています。ただし、高加減速対応の設定がある場合、それを除きます。
- オフボードチューニング機能については、「IA-OSのヘルプ画面」を参照してください。

### 表
#### RCS2シリーズ 接続可能なアクチュエーターの仕様一覧

| アクチュエーターシリーズ | タイプ | モーター出力 (W) | エンコーダーパルス数 | リード (mm) | 取付け方向 | 最高速度 (mm/s) | 最大加減速度 (G) | 最小押付け力 (N) | 最大押付け力 (N) | 定格押付け速度 (mm/s) |
|--------------------------|--------|-----------------|----------------------|-------------|------------|-----------------|------------------|------------------|------------------|-----------------------|
| RCS2 (スライダータイプ)  | SA7C   | 60              | 16384                | 24          | 水平/垂直  | 1200 (at 50～600st)<br>1150 (at 650st)<br>960 (at 700st)<br>890 (at 750st)<br>720 (at 800st) | 0.3 高加減速対応:0.8 | -                | -                | -                     |
|                          |        |                 |                      | 16          |            | 800 (at 50～600st)<br>745 (at 650st)<br>640 (at 700st)<br>575 (at 750st)<br>480 (at 800st) | 0.3 高加減速対応:1   | -                | -                | -                     |
|                          |        |                 |                      | 8           |            | 400 (at 50～600st)<br>370 (at 650st)<br>320 (at 700st)<br>285 (at 750st)<br>240 (at 800st) | 0.3 高加減速対応:0.8 | -                | -                | -                     |
|                          |        |                 |                      | 4           |            | 200 (at 50～600st)<br>185 (at 650st)<br>160 (at 700st)<br>140 (at 750st)<br>120 (at 800st) | 0.2                  | -                | -                | -                     |
|                          | SA7R   | 60              | 16384                | 16          | 水平/垂直  | 800 (at 50～600st)<br>745 (at 650st)<br>640 (at 700st)<br>575 (at 750st)<br>480 (at 800st) | 0.3                  | -                | -                | -                     |
|                          |        |                 |                      | 8           |            | 400 (at 50～600st)<br>370 (at 650st)<br>320 (at 700st)<br>285 (at 750st)<br>240 (at 800st) | 0.3                  | -                | -                | -                     |
|                          |        |                 |                      | 4           |            | 200 (at 50～600st)<br>185 (at 650st)<br>160 (at 700st)<br>140 (at 750st)<br>120 (at 800st) | 0.2                  | -                | -                | -                     |
|                          | SS7C   | 60              | 16384                | 20          | 水平/垂直  | 1000 (at 50～550st)<br>830 (at 600st) | 0.3                  | -                | -                | -                     |
|                          |        |                 |                      | 12          |            | 600 (at 50～500st)<br>580 (at 550st)<br>470 (at 600st) | 0.3                  | -                | -                | -                     |
|                          |        |                 |                      | 6           |            | 300 (at 50～500st)<br>290 (at 550st)<br>230 (at 600st) | 0.3                  | -                | -                | -                     |
|                          | SS7R   | 60              | 16384                | 12          | 水平/垂直  | 600 (at 50～500st)<br>580 (at 550st)<br>470 (at 600st) | 0.3                  | -                | -                | -                     |
|                          |        |                 |                      | 6           |            | 300 (at 50～500st)<br>290 (at 550st)<br>230 (at 600st) | 0.3                  | -                | -                | -                     |

</contents>
