ファイル名: SCON2(MJ0458-1E)_page362

<overview>
本ページは「7.1 定期点検」についての説明で構成されています。テキスト部分では定期点検の必要性と点検時期の目安が述べられています。表部分では具体的な定期点検項目が一覧形式で示されており、点検内容、判定基準、処置方法が詳細に記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 7.1.1 定期点検項目
本製品は環境条件により電子部品の劣化が考えられるため、定期的に点検する必要があります。点検時期は6か月～1年に1回が標準ですが、周囲環境に応じて点検間隔を短くしてください。

### 表
#### 定期点検項目一覧

| No. | 点検項目       | 点検内容                                                                                     | 判定基準                              | 処置                                                                                   |
|-----|----------------|----------------------------------------------------------------------------------------------|-------------------------------------|----------------------------------------------------------------------------------------|
| 1   | 供給電源       | 電源端子台で測定して電圧変動は基準内にあるか                                             | 電圧変動範囲内 AC100/200V ±10%      | 供給電源が判定基準内に入るように変更してください。                                   |
| 2   | ブレーキ用電源 | ブレーキ電源コネクターの端子部で測定して電圧変動は基準内にあるか                         | 電圧変動範囲内 DC24V ±10%           | -                                                                                      |
| 3   | 周囲環境       | 周囲温度（盤内使用の場合は盤内温度が周囲温度になる）                                     | 0～40℃                             | 温度計で周囲温度を測定し、使用周囲温度に入るように周囲環境を整備してください。       |
|     |                | 周囲湿度（盤内使用の場合は盤内湿度）                                                     | 5%RH～85%RH 結露・凍結なきこと     | 湿度計で周囲湿度を測定し、使用周囲湿度に入るように周囲環境を整備してください。       |
|     |                | 雰囲気                                                                                     | 腐食性ガス、引火性ガスがないこと    | 匂い、またはガスセンサーなどでチェックしてください。                               |
|     |                |                                                                                            | 水、油、薬品などの飛沫がかかっていないこと | 除去し、遮蔽してください。                                                             |
|     |                |                                                                                            | ちり、ほこり、塩分、鉄粉などの粉塵が積っていないこと | 除去し、遮蔽してください。                                                             |
|     |                |                                                                                            | 直射日光が当たらないこと            | 遮蔽してください。                                                                     |
|     |                |                                                                                            | 耐振動、耐衝撃の仕様の範囲内であること | 耐振動、耐衝撃用のクッションなどを設置してください。                                 |
|     |                |                                                                                            | ノイズ発生源が近くにないこと        | ノイズ源を遠ざけるか、遮蔽対策を実施してください。                                   |
| 4   | 取付け状態     | 取付け状態                                                                                 | 取付けにゆるみなどないこと          | 再度固定し直してください。                                                             |
</contents>
